plot_code,country_code,survey_date,altitude,longitude,latitude,tsu_id,plot_id,country_name,sign_of_erosion,srf_salt,srf_crust,crsfrgab,srf_stone,lndform,slope_class,bare_soil,main_land_use,life_forms,crop_type,field_size,field_distribution_pattern,ploughing_sign,ploughing_direction,tillage_mode,input_crop_residue,input_green_manure,input_animal_manure,input_inorganic,water_supply,grazing_sign_present,grazing_sign_infrastructure,grazing_sign_droppings,grazing_sign_grass,overgrazing_sign_bare,overgrazing_sign_dung,overgrazing_sign_deforest
NG365-3-1,NG,2022/12/31,229,4.2364894,12.0981216,655174400901701,2173,Nigeria,No,No,No,Very few (0-2%),Fine gravel (0.2 - 0.6 cm),"Sloping land (Gradient 10–30%, relief intensity 50-150 m/km)",Very gently sloping (0.5 - 2.0%),No,Cultivated and managed land (terrestial area),Herbaceous - Graminoids,Cereals,1 to 2 acres (± 0.4 to 0.8 ha ; 4000-8000 m2),Contiguous fields; > 50% – irregular pattern and shape,"Signs of tillage in the past: ridges visible forming a pattern, but ridges less pronounced/flattened",Along contours,Manual (hoe),No,No,No,Yes,Rainfed ,No,No,No,No,No,No,No
NG367-1-1,NG,2023/01/02,483,6.6274833,12.052171699999999,656078002001601,2206,Nigeria,No,No,No,Very few (0-2%),Fine gravel (0.2 - 0.6 cm),"Sloping land (Gradient 10–30%, relief intensity 50-150 m/km)",Very gently sloping (0.5 - 2.0%),No,Cultivated and managed land (terrestial area),Herbaceous - Graminoids,Cereals,1 to 2 acres (± 0.4 to 0.8 ha ; 4000-8000 m2),Contiguous fields; > 70% – regular pattern ,"Signs of tillage in the past: ridges visible forming a pattern, but ridges less pronounced/flattened",Along contours,Manual (hoe),Yes,No,No,No,Rainfed ,Yes,No,Yes,Yes,Yes,Yes,No
NG094-7-1,NG,2023/01/31,199,5.9784599,9.9615736,708173700700301,2237,Nigeria,No,No,No,Few (2-5%),Stones (6 - 20 cm),"Level land (Gradient < 10%, relief intensity < 50 m/km)",Flat (0 - 0.5%),No,Cultivated and managed land (terrestial area),Herbaceous - Graminoids,Cereals,1 to 2 acres (± 0.4 to 0.8 ha ; 4000-8000 m2),Contiguous fields; > 50% – irregular pattern and shape,"Signs of tillage in the past: ridges visible forming a pattern, but ridges less pronounced/flattened",Not applicable,Manual (hoe),No,No,Yes,Yes,Rainfed ,Yes,Yes,Yes,Yes,Yes,Yes,Yes
NG094-2-1,NG,2023/01/31,182,5.9902502,9.9610923,708173700701601,2238,Nigeria,No,No,No,Very few (0-2%),Medium gravel (0.6 - 2.0 cm),"Sloping land (Gradient 10–30%, relief intensity 50-150 m/km)",Very gently sloping (0.5 - 2.0%),No,Cultivated and managed land (terrestial area),Herbaceous - Graminoids,Cereals,2 to 5 acres (± 0.8 to 2 ha ; 8000-20.000 m2),Contiguous fields; > 50% – irregular pattern and shape,"Signs of tillage in the past: ridges visible forming a pattern, but ridges less pronounced/flattened",Not applicable,Manual (hoe),No,No,Yes,Yes,Rainfed ,Yes,Yes,Yes,Yes,Yes,Yes,Yes
NG144-2-1,NG,2023/02/02,145,6.3608011,9.2699117,725096901700901,2250,Nigeria,No,No,No,Many (15-40%),Stones (6 - 20 cm),"Sloping land (Gradient 10–30%, relief intensity 50-150 m/km)",Very gently sloping (0.5 - 2.0%),No,Cultivated and managed land (terrestial area),Herbaceous - Graminoids,Cereals,2 to 5 acres (± 0.8 to 2 ha ; 8000-20.000 m2),Contiguous fields; > 50% – irregular pattern and shape,"Signs of tillage in the past: ridges visible forming a pattern, but ridges less pronounced/flattened",Not applicable,Mechanical (tractor),No,No,Yes,Yes,Rainfed ,Yes,Yes,Yes,Yes,Yes,Yes,Yes
NG101-7-1,NG,2023/02/01,295,6.3696587,9.7964356,711738000802001,2253,Nigeria,No,No,No,Common (5-15%),Stones (6 - 20 cm),"Level land (Gradient < 10%, relief intensity < 50 m/km)",Flat (0 - 0.5%),No,Cultivated and managed land (terrestial area),Herbaceous - Graminoids,Cereals,1 to 2 acres (± 0.4 to 0.8 ha ; 4000-8000 m2),Contiguous fields; > 50% – irregular pattern and shape,"Signs of tillage in the past: ridges visible forming a pattern, but ridges less pronounced/flattened",Not applicable,Mechanical (tractor),No,No,Yes,Yes,Rainfed ,Yes,Yes,Yes,Yes,Yes,Yes,Yes
NG256-1-1,NG,2023/02/08,289,6.9669895,8.603588499999999,741576101900901,2264,Nigeria,No,No,No,Abundant (40-80%),Stones (6 - 20 cm),"Level land (Gradient < 10%, relief intensity < 50 m/km)",Flat (0 - 0.5%),No,Cultivated and managed land (terrestial area),Herbaceous - Graminoids,Cereals,1 to 2 acres (± 0.4 to 0.8 ha ; 4000-8000 m2),Contiguous fields; > 50% – irregular pattern and shape,"Signs of tillage in the past: ridges visible forming a pattern, but ridges less pronounced/flattened",Not applicable,Manual (hoe),No,No,Yes,Yes,Rainfed ,Yes,Yes,Yes,Yes,Yes,Yes,Yes
NG256-7-1,NG,2023/02/08,268,6.9727451,8.6022992,741576102001501,2265,Nigeria,No,No,No,Many (15-40%),Stones (6 - 20 cm),"Level land (Gradient < 10%, relief intensity < 50 m/km)",Flat (0 - 0.5%),No,Cultivated and managed land (terrestial area),Herbaceous - Graminoids,Cereals,2 to 5 acres (± 0.8 to 2 ha ; 8000-20.000 m2),Contiguous fields; > 50% – irregular pattern and shape,"Signs of tillage in the past: ridges visible forming a pattern, but ridges less pronounced/flattened",Not applicable,Manual (hoe),No,No,Yes,Yes,Rainfed ,Yes,Yes,Yes,Yes,Yes,Yes,Yes
NG166-2-1,NG,2023/02/08,253,7.1764326,8.7762412,737569600701101,2275,Nigeria,No,No,No,Very few (0-2%),Medium gravel (0.6 - 2.0 cm),"Level land (Gradient < 10%, relief intensity < 50 m/km)",Flat (0 - 0.5%),No,Cultivated and managed land (terrestial area),Herbaceous - Graminoids,Cereals,2 to 5 acres (± 0.8 to 2 ha ; 8000-20.000 m2),Contiguous fields; > 50% – irregular pattern and shape,"Signs of tillage in the past: ridges visible forming a pattern, but ridges less pronounced/flattened",Not applicable,Mechanical (tractor),No,No,Yes,Yes,Post-flooding/ residual moisture,Yes,Yes,Yes,Yes,Yes,Yes,Yes
UG031-1-1,UG,2023/04/13,1573,29.8676756,-0.7921618,974594001801201,2331,Uganda,Yes,No,No,Common (5-15%),Medium gravel (0.6 - 2.0 cm),"Steep land (Gradient > 30%, relief intensity > 150 m/km)",Steep (30 - 60%),No,Cultivated and managed land (terrestial area),Herbaceous - Non-Graminoids,Pulses,1 to 2 acres (± 0.4 to 0.8 ha ; 4000-8000 m2),Fields: 20 – 50%; clustered – irregular pattern and shape ,"Signs of tillage in the past: ridges visible forming a pattern, but ridges less pronounced/flattened",Not applicable,Manual (hoe),No,No,No,No,Rainfed ,No,No,No,No,No,No,No
UG025-4-1,UG,2023/04/22,1397,30.54053,-0.16397520000000002,959012301900201,2371,Uganda,No,No,No,Common (5-15%),Medium gravel (0.6 - 2.0 cm),"Level land (Gradient < 10%, relief intensity < 50 m/km)",Flat (0 - 0.5%),No,Cultivated and managed land (terrestial area),Herbaceous - Non-Graminoids,Fruits,More than 12 acres (> ± 5 ha ; > 50.000 m2),Contiguous fields; > 50% – irregular pattern and shape,"Signs of tillage in the past: ridges visible forming a pattern, but ridges less pronounced/flattened",Not applicable,Manual (hoe),Yes,Yes,Yes,No,Rainfed ,No,No,No,No,No,No,No
UG026-2-1,UG,2023/04/21,1488,30.530148600000004,-0.3497396,963910500501001,2395,Uganda,Yes,No,No,Many (15-40%),Medium gravel (0.6 - 2.0 cm),"Sloping land (Gradient 10–30%, relief intensity 50-150 m/km)",Sloping (5 - 10%),No,Cultivated and managed land (terrestial area),Herbaceous - Non-Graminoids,Fruits,2 to 5 acres (± 0.8 to 2 ha ; 8000-20.000 m2),Fields: 20 – 50%; clustered – irregular pattern and shape ,Signs of field recently tilled: presence of prominent ridges or heaps,"In slope direction, tangent to contour",Manual (hoe),Yes,No,No,No,Rainfed ,No,No,No,No,No,No,No
UG037-4-1,UG,2023/04/24,1307,31.057321500000004,-0.11948589999999999,958124500901701,2456,Uganda,Yes,No,No,Common (5-15%),Medium gravel (0.6 - 2.0 cm),"Sloping land (Gradient 10–30%, relief intensity 50-150 m/km)",Gently sloping (2 - 5%),No,Cultivated and managed land (terrestial area),Herbaceous - Non-Graminoids,Pulses,2 to 5 acres (± 0.8 to 2 ha ; 8000-20.000 m2),Fields: 20 – 50%; clustered – irregular pattern and shape ,"Signs of tillage in the past: ridges visible forming a pattern, but ridges less pronounced/flattened","In slope direction, tangent to contour",Manual (hoe),Yes,No,No,No,Rainfed ,No,No,No,No,No,No,No
ZA011-3-2,ZA,2023/05/16,121,18.577423800000002,-33.7831921,1792548600301202,2602,South Africa,No,No,No,Many (15-40%),Coarse gravel (2 - 6 cm),"Sloping land (Gradient 10–30%, relief intensity 50-150 m/km)",Sloping (5 - 10%),Yes,Cultivated and managed land (terrestial area),Herbaceous - Graminoids,Oilcrops,More than 12 acres (> ± 5 ha ; > 50.000 m2),Contiguous fields; > 70% – regular pattern ,Signs of field recently tilled: presence of prominent ridges or heaps,"In slope direction, tangent to contour",Mechanical (tractor),No,No,No,Yes,Rainfed ,No,No,No,No,No,No,No
ZA017-7-3,ZA,2023/05/11,181,18.885989000000002,-32.7968061,1768058500600603,2611,South Africa,No,No,No,Many (15-40%),Coarse gravel (2 - 6 cm),"Level land (Gradient < 10%, relief intensity < 50 m/km)",Flat (0 - 0.5%),Yes,Cultivated and managed land (terrestial area),Herbaceous - Graminoids,Cereals,More than 12 acres (> ± 5 ha ; > 50.000 m2),Contiguous fields; > 70% – regular pattern ,Signs of field recently tilled: presence of prominent ridges or heaps,Along contours,Mechanical (tractor),Yes,No,No,Yes,Rainfed ,No,No,No,No,No,No,No
ZA018-1-2,ZA,2023/05/11,103,18.7054544,-33.0058895,1772955901802002,2613,South Africa,No,No,No,Dominant (> 80%),Coarse gravel (2 - 6 cm),"Level land (Gradient < 10%, relief intensity < 50 m/km)",Flat (0 - 0.5%),No,Cultivated and managed land (terrestial area),Herbaceous - Graminoids,Cereals,More than 12 acres (> ± 5 ha ; > 50.000 m2),Contiguous fields; > 70% – regular pattern ,"Signs of tillage in the past: ridges visible forming a pattern, but ridges less pronounced/flattened",Along contours,Mechanical (tractor),No,Yes,No,Yes,Rainfed ,No,No,No,No,No,No,No
ZA018-7-1,ZA,2023/05/11,114,18.68794,-33.005334999999995,1772955901700301,2616,South Africa,No,No,No,Abundant (40-80%),Coarse gravel (2 - 6 cm),"Level land (Gradient < 10%, relief intensity < 50 m/km)",Gently sloping (2 - 5%),Yes,Cultivated and managed land (terrestial area),Herbaceous - Graminoids,Cereals,More than 12 acres (> ± 5 ha ; > 50.000 m2),Contiguous fields; > 70% – regular pattern ,"Signs of tillage in the past: ridges visible forming a pattern, but ridges less pronounced/flattened",Along contours,Mechanical (tractor),No,Yes,No,Yes,Rainfed ,No,No,No,No,No,No,No
ZA020-4-3,ZA,2023/05/05,184,18.6256757,-33.4320125,1783642801201203,2624,South Africa,No,No,No,Few (2-5%),Coarse gravel (2 - 6 cm),"Level land (Gradient < 10%, relief intensity < 50 m/km)",Sloping (5 - 10%),No,Cultivated and managed land (terrestial area),Vines,Fruits,1 to 2 acres (± 0.4 to 0.8 ha ; 4000-8000 m2),Contiguous fields; > 70% – regular pattern ,"Signs of tillage in the past: ridges visible forming a pattern, but ridges less pronounced/flattened",Along contours,Mechanical (tractor),No,No,No,No,Rainfed ,No,No,No,No,No,No,No
ZA023-5-2,ZA,2023/05/05,133,18.9722548,-33.756244,1791659801301702,2625,South Africa,No,No,No,Common (5-15%),Coarse gravel (2 - 6 cm),"Level land (Gradient < 10%, relief intensity < 50 m/km)",Flat (0 - 0.5%),Yes,Cultivated and managed land (terrestial area),Vines,Fruits,5 to 12 acres (± 2 to 5 ha ; 20.000-50.000 m2),Contiguous fields; > 70% – regular pattern ,Signs of field recently tilled: presence of prominent ridges or heaps,"In slope direction, tangent to contour",Mechanical (tractor),No,No,No,No,Irrigated,No,No,No,No,No,No,No
ZA11-2-1,ZA,2023/07/25,148,18.5755176,-33.791225700000005,1792548601201001,2635,South Africa,No,No,No,Many (15-40%),Stones (6 - 20 cm),"Level land (Gradient < 10%, relief intensity < 50 m/km)",Gently sloping (2 - 5%),No,Cultivated and managed land (terrestial area),Herbaceous - Graminoids,Cereals,More than 12 acres (> ± 5 ha ; > 50.000 m2),Contiguous fields; > 70% – regular pattern ,"Signs of tillage in the past: ridges visible forming a pattern, but ridges less pronounced/flattened",Along contours,Mechanical (tractor),Yes,No,No,Yes,Rainfed ,No,No,No,No,No,No,No
ZA017-5-2,ZA,2023/11/27,199,18.889022699999998,-32.804774699999996,1768058501400902,2637,South Africa,No,No,No,Very few (0-2%),Fine gravel (0.2 - 0.6 cm),"Level land (Gradient < 10%, relief intensity < 50 m/km)",Flat (0 - 0.5%),No,Cultivated and managed land (terrestial area),Herbaceous - Graminoids,Cereals,More than 12 acres (> ± 5 ha ; > 50.000 m2),Contiguous fields; > 70% – regular pattern ,"Signs of tillage in the past: ridges visible forming a pattern, but ridges less pronounced/flattened",Along contours,Mechanical (tractor),Yes,No,No,Yes,Rainfed ,No,No,No,No,No,No,No
ZA017-6-1,ZA,2023/11/27,195,18.888096100000002,-32.804049600000006,1768058501300801,2638,South Africa,No,No,No,Very few (0-2%),Fine gravel (0.2 - 0.6 cm),"Level land (Gradient < 10%, relief intensity < 50 m/km)",Flat (0 - 0.5%),No,Cultivated and managed land (terrestial area),Herbaceous - Graminoids,Cereals,More than 12 acres (> ± 5 ha ; > 50.000 m2),Contiguous fields; > 70% – regular pattern ,"Signs of tillage in the past: ridges visible forming a pattern, but ridges less pronounced/flattened",Along contours,Mechanical (tractor),Yes,No,No,Yes,Rainfed ,No,No,No,No,No,No,No
ZA163-3-1,ZA,2023/05/10,1456,26.3971703,-26.847360499999997,1620701200300201,2648,South Africa,No,No,No,Very few (0-2%),Fine gravel (0.2 - 0.6 cm),"Sloping land (Gradient 10–30%, relief intensity 50-150 m/km)",Very gently sloping (0.5 - 2.0%),Yes,Cultivated and managed land (terrestial area),Herbaceous - Graminoids,Fodder plants,More than 12 acres (> ± 5 ha ; > 50.000 m2),Contiguous fields; > 70% – regular pattern ,"Signs of tillage in the past: ridges visible forming a pattern, but ridges less pronounced/flattened",Along contours,Mechanical (tractor),Yes,No,No,Yes,Irrigated,No,No,No,No,No,No,No
TZ247-1-1,TZ,2023/06/17,42,39.08404779999999,-4.889917700000001,1076173302001501,2682,Tanzania,No,No,No,Very few (0-2%),Medium gravel (0.6 - 2.0 cm),"Level land (Gradient < 10%, relief intensity < 50 m/km)",Flat (0 - 0.5%),No,Semi-natural vegetation,Shrub,Vegetables,2 to 5 acres (± 0.8 to 2 ha ; 8000-20.000 m2),Contiguous fields; > 50% – irregular pattern and shape,No-till,Along contours,Manual (hoe),No,No,No,No,Rainfed ,No,No,No,Yes,Yes,No,No
TZ183-4-1,TZ,2023/07/08,1058,36.9866514,-3.3232332,1037420801600601,2757,Tanzania,Yes,No,No,Very few (0-2%),Coarse gravel (2 - 6 cm),"Level land (Gradient < 10%, relief intensity < 50 m/km)",Very gently sloping (0.5 - 2.0%),No,Cultivated and managed land (terrestial area),Herbaceous - Non-Graminoids,Oilcrops,5 to 12 acres (± 2 to 5 ha ; 20.000-50.000 m2),Contiguous fields; > 70% – regular pattern ,"Signs of tillage in the past: ridges visible forming a pattern, but ridges less pronounced/flattened",Along contours,Mechanical (tractor),No,No,No,Yes,Rainfed ,No,No,No,No,No,No,No
TZ036-3-1,TZ,2023/06/10,1149,33.708655,-2.561855,1018700000801301,2802,Tanzania,No,No,No,Very few (0-2%),Fine gravel (0.2 - 0.6 cm),"Level land (Gradient < 10%, relief intensity < 50 m/km)",Flat (0 - 0.5%),No,Cultivated and managed land (terrestial area),Herbaceous - Graminoids,Cereals,More than 12 acres (> ± 5 ha ; > 50.000 m2),Contiguous fields; > 70% – regular pattern ,Signs of field recently tilled: presence of prominent ridges or heaps,Not applicable,"Animal traction (buffalo, bullock, cow, horse, mule/donkey)",Yes,No,Yes,No,Rainfed ,Yes,No,Yes,Yes,Yes,No,Yes
TZ038-2-1,TZ,2023/06/11,1372,34.156122700000004,-2.7433697999999995,1023155501000901,2807,Tanzania,Yes,No,No,Very few (0-2%),Fine gravel (0.2 - 0.6 cm),"Sloping land (Gradient 10–30%, relief intensity 50-150 m/km)",Sloping (5 - 10%),No,Cultivated and managed land (terrestial area),Herbaceous - Graminoids,Cereals,1 to 2 acres (± 0.4 to 0.8 ha ; 4000-8000 m2),Contiguous fields; > 50% – irregular pattern and shape,Signs of field recently tilled: presence of prominent ridges or heaps,"In slope direction, tangent to contour","Animal traction (buffalo, bullock, cow, horse, mule/donkey)",No,No,Yes,No,Rainfed ,Yes,No,No,Yes,Yes,No,No
TZ595-4-2,TZ,2023/06/14,1138,33.6262867,-2.0836200000000002,1006676501600702,2839,Tanzania,No,No,No,Very few (0-2%),Fine gravel (0.2 - 0.6 cm),"Level land (Gradient < 10%, relief intensity < 50 m/km)",Flat (0 - 0.5%),No,Cultivated and managed land (terrestial area),Herbaceous - Graminoids,Cereals,2 to 5 acres (± 0.8 to 2 ha ; 8000-20.000 m2),Contiguous fields; > 50% – irregular pattern and shape,Signs of field recently tilled: presence of prominent ridges or heaps,Not applicable,"Animal traction (buffalo, bullock, cow, horse, mule/donkey)",No,No,No,No,Rainfed ,No,No,No,No,No,No,No
TZ232-3-1,TZ,2023/06/17,1443,33.9956,-1.7334967000000001,998217900600101,2849,Tanzania,No,No,No,Few (2-5%),Fine gravel (0.2 - 0.6 cm),"Sloping land (Gradient 10–30%, relief intensity 50-150 m/km)",Gently sloping (2 - 5%),No,Cultivated and managed land (terrestial area),Herbaceous - Graminoids,Cereals,2 to 5 acres (± 0.8 to 2 ha ; 8000-20.000 m2),Contiguous fields; > 50% – irregular pattern and shape,No visible signs of tillage,Not applicable,"Animal traction (buffalo, bullock, cow, horse, mule/donkey)",Yes,No,No,No,Rainfed ,No,No,No,No,No,No,No
TZ232-2-2,TZ,2023/06/17,1441,33.9966062,-1.7399944999999999,998217901300202,2850,Tanzania,No,No,No,Very few (0-2%),Fine gravel (0.2 - 0.6 cm),"Sloping land (Gradient 10–30%, relief intensity 50-150 m/km)",Very gently sloping (0.5 - 2.0%),No,Cultivated and managed land (terrestial area),Herbaceous - Graminoids,Cereals,2 to 5 acres (± 0.8 to 2 ha ; 8000-20.000 m2),Contiguous fields; > 50% – irregular pattern and shape,Signs of field recently tilled: presence of prominent ridges or heaps,Not applicable,"Animal traction (buffalo, bullock, cow, horse, mule/donkey)",No,No,No,No,Rainfed ,Yes,No,No,No,No,No,No
TZ169-2-2,TZ,2023/06/08,1214,33.877137100000006,-2.3031610000000002,1012021502000402,2852,Tanzania,No,No,No,Common (5-15%),Medium gravel (0.6 - 2.0 cm),"Sloping land (Gradient 10–30%, relief intensity 50-150 m/km)",Gently sloping (2 - 5%),No,Cultivated and managed land (terrestial area),Herbaceous - Non-Graminoids,Roots and tubers,1 to 2 acres (± 0.4 to 0.8 ha ; 4000-8000 m2),Fields: 20 – 50%; clustered – irregular pattern and shape ,"Signs of tillage in the past: ridges visible forming a pattern, but ridges less pronounced/flattened",Along contours,"Animal traction (buffalo, bullock, cow, horse, mule/donkey)",No,No,No,No,Rainfed ,Yes,No,No,Yes,Yes,No,No
TZ034-3-1,TZ,2023/06/19,1435,34.410145,-1.9099468000000002,1002673200200101,2866,Tanzania,No,No,No,Common (5-15%),Stones (6 - 20 cm),"Sloping land (Gradient 10–30%, relief intensity 50-150 m/km)",Gently sloping (2 - 5%),No,Cultivated and managed land (terrestial area),Herbaceous - Graminoids,Cereals,2 to 5 acres (± 0.8 to 2 ha ; 8000-20.000 m2),Contiguous fields; > 70% – regular pattern ,Signs of field recently tilled: presence of prominent ridges or heaps,"In slope direction, tangent to contour","Animal traction (buffalo, bullock, cow, horse, mule/donkey)",No,No,Yes,No,Rainfed ,Yes,Yes,Yes,Yes,No,Yes,No
TZ034-2-1,TZ,2023/06/19,1474,34.427279999999996,-1.9121366999999998,1002673200502001,2868,Tanzania,No,No,No,Very few (0-2%),Medium gravel (0.6 - 2.0 cm),"Sloping land (Gradient 10–30%, relief intensity 50-150 m/km)",Very gently sloping (0.5 - 2.0%),No,Cultivated and managed land (terrestial area),Herbaceous - Graminoids,Cereals,2 to 5 acres (± 0.8 to 2 ha ; 8000-20.000 m2),Contiguous fields; > 50% – irregular pattern and shape,"Signs of tillage in the past: ridges visible forming a pattern, but ridges less pronounced/flattened",Along contours,Manual (hoe),No,No,No,No,Rainfed ,Yes,No,No,No,No,No,No
TZ390-1-1,TZ,2023/06/20,1241,34.5242255,-1.587965,994658400401001,2869,Tanzania,No,No,No,Many (15-40%),Stones (6 - 20 cm),"Sloping land (Gradient 10–30%, relief intensity 50-150 m/km)",Gently sloping (2 - 5%),No,Cultivated and managed land (terrestial area),Herbaceous - Graminoids,Cereals,2 to 5 acres (± 0.8 to 2 ha ; 8000-20.000 m2),Contiguous fields; > 70% – regular pattern ,Signs of field recently tilled: presence of prominent ridges or heaps,Not applicable,"Animal traction (buffalo, bullock, cow, horse, mule/donkey)",No,No,Yes,No,Rainfed ,Yes,Yes,Yes,No,No,Yes,No
TZ593-4-1,TZ,2023/06/21,1347,34.3055717,-1.3600683,988868301000901,2887,Tanzania,No,No,No,Common (5-15%),Medium gravel (0.6 - 2.0 cm),"Sloping land (Gradient 10–30%, relief intensity 50-150 m/km)",Very gently sloping (0.5 - 2.0%),No,Cultivated and managed land (terrestial area),Herbaceous - Graminoids,Cereals,1 to 2 acres (± 0.4 to 0.8 ha ; 4000-8000 m2),Contiguous fields; > 70% – regular pattern ,No visible signs of tillage,Not applicable,"Animal traction (buffalo, bullock, cow, horse, mule/donkey)",No,No,No,No,Rainfed ,Yes,Yes,No,No,No,No,No
TZ593-3-1,TZ,2023/06/21,1330,34.304852399999994,-1.3553715,988868300500801,2888,Tanzania,No,No,No,Few (2-5%),Medium gravel (0.6 - 2.0 cm),"Sloping land (Gradient 10–30%, relief intensity 50-150 m/km)",Very gently sloping (0.5 - 2.0%),No,Cultivated and managed land (terrestial area),Herbaceous - Graminoids,Cereals,2 to 5 acres (± 0.8 to 2 ha ; 8000-20.000 m2),Contiguous fields; > 50% – irregular pattern and shape,"Signs of tillage in the past: ridges visible forming a pattern, but ridges less pronounced/flattened",Along contours,Manual (hoe),No,No,No,No,Rainfed ,No,No,No,No,No,No,No
TZ165-1-1,TZ,2023/06/23,1259,34.0836367,-1.1869368999999999,984414101700301,2903,Tanzania,No,No,No,Few (2-5%),Fine gravel (0.2 - 0.6 cm),"Sloping land (Gradient 10–30%, relief intensity 50-150 m/km)",Very gently sloping (0.5 - 2.0%),No,Cultivated and managed land (terrestial area),Herbaceous - Non-Graminoids,Roots and tubers,2 to 5 acres (± 0.8 to 2 ha ; 8000-20.000 m2),Contiguous fields; > 50% – irregular pattern and shape,"Signs of tillage in the past: ridges visible forming a pattern, but ridges less pronounced/flattened",Along contours,"Animal traction (buffalo, bullock, cow, horse, mule/donkey)",No,No,No,No,Rainfed ,No,No,No,No,No,No,No
TZ165-3-1,TZ,2023/06/23,1270,34.0836383,-1.1891916999999999,984414102000301,2904,Tanzania,Yes,No,No,Common (5-15%),Medium gravel (0.6 - 2.0 cm),"Sloping land (Gradient 10–30%, relief intensity 50-150 m/km)",Gently sloping (2 - 5%),No,Cultivated and managed land (terrestial area),Herbaceous - Graminoids,Cereals,2 to 5 acres (± 0.8 to 2 ha ; 8000-20.000 m2),Contiguous fields; > 50% – irregular pattern and shape,"Signs of tillage in the past: ridges visible forming a pattern, but ridges less pronounced/flattened",Along contours,"Animal traction (buffalo, bullock, cow, horse, mule/donkey)",No,No,No,No,Rainfed ,Yes,No,No,No,No,No,No
TZ169-3-1,TZ,2023/06/24,1195,33.8846968,-2.3012442,1012021501801201,2908,Tanzania,No,No,No,Common (5-15%),Medium gravel (0.6 - 2.0 cm),"Level land (Gradient < 10%, relief intensity < 50 m/km)",Flat (0 - 0.5%),No,Cultivated and managed land (terrestial area),Herbaceous - Graminoids,Cereals,2 to 5 acres (± 0.8 to 2 ha ; 8000-20.000 m2),Contiguous fields; > 50% – irregular pattern and shape,No visible signs of tillage,Not applicable,"Animal traction (buffalo, bullock, cow, horse, mule/donkey)",No,No,No,No,Rainfed ,No,No,No,No,No,No,No
NG207-6-1,NG,2023/05/15,74,8.135496700000001,5.7482888,812384500801801,2937,Nigeria,No,No,No,Many (15-40%),Coarse gravel (2 - 6 cm),"Level land (Gradient < 10%, relief intensity < 50 m/km)",Very gently sloping (0.5 - 2.0%),No,Cultivated and managed land (terrestial area),Herbaceous - Non-Graminoids,Roots and tubers,5 to 12 acres (± 2 to 5 ha ; 20.000-50.000 m2),Contiguous fields; > 50% – irregular pattern and shape,Signs of field recently tilled: presence of prominent ridges or heaps,Not applicable,Manual (hoe),No,No,No,No,Rainfed ,No,No,No,No,No,No,No
NG207-3-1,NG,2023/05/15,75,8.135680800000001,5.748174099999999,812384501100601,2938,Nigeria,No,No,No,Many (15-40%),Coarse gravel (2 - 6 cm),"Sloping land (Gradient 10–30%, relief intensity 50-150 m/km)",Gently sloping (2 - 5%),No,Cultivated and managed land (terrestial area),Tree,"Other crops (e.g., rubber)",5 to 12 acres (± 2 to 5 ha ; 20.000-50.000 m2),Contiguous fields; > 50% – irregular pattern and shape,No visible signs of tillage,Not applicable,Manual (hoe),No,No,No,No,Rainfed ,No,No,No,No,No,No,No
NG207-5-1,NG,2023/05/15,75,8.13105,5.7468656,812384501701201,2939,Nigeria,No,No,No,Many (15-40%),Coarse gravel (2 - 6 cm),"Sloping land (Gradient 10–30%, relief intensity 50-150 m/km)",Sloping (5 - 10%),No,Cultivated and managed land (terrestial area),Herbaceous - Non-Graminoids,Roots and tubers,5 to 12 acres (± 2 to 5 ha ; 20.000-50.000 m2),Contiguous fields; > 50% – irregular pattern and shape,"Signs of tillage in the past: ridges visible forming a pattern, but ridges less pronounced/flattened",Not applicable,Manual (hoe),No,No,No,No,Rainfed ,No,No,No,No,No,No,No
NG201-5-1,NG,2023/05/16,112,8.7522051,6.3948619,796357201901401,2940,Nigeria,No,No,No,Many (15-40%),Medium gravel (0.6 - 2.0 cm),"Sloping land (Gradient 10–30%, relief intensity 50-150 m/km)",Gently sloping (2 - 5%),No,Cultivated and managed land (terrestial area),Herbaceous - Non-Graminoids,Roots and tubers,2 to 5 acres (± 0.8 to 2 ha ; 8000-20.000 m2),Contiguous fields; > 50% – irregular pattern and shape,Signs of field recently tilled: presence of prominent ridges or heaps,Not applicable,Manual (hoe),No,No,No,Yes,Rainfed ,No,No,No,No,No,No,No
NG201-4-1,NG,2023/05/16,154,8.74886,6.3969797999999995,796357201401001,2941,Nigeria,No,No,No,Many (15-40%),Medium gravel (0.6 - 2.0 cm),"Sloping land (Gradient 10–30%, relief intensity 50-150 m/km)",Very gently sloping (0.5 - 2.0%),No,Cultivated and managed land (terrestial area),Herbaceous - Non-Graminoids,Roots and tubers,2 to 5 acres (± 0.8 to 2 ha ; 8000-20.000 m2),Contiguous fields; > 50% – irregular pattern and shape,Signs of field recently tilled: presence of prominent ridges or heaps,Not applicable,Manual (hoe),No,No,No,Yes,Rainfed ,No,No,No,No,No,No,No
